date,open,high,low,close,volume
1998-01-02 00:00:00,20.72,20.78,20.19,20.38,646600
1998-01-05 00:00:00,20.28,20.6,19.82,20,985400
1998-01-06 00:00:00,19.75,19.85,19.07,19.38,2035500
1998-01-07 00:00:00,19.25,19.5,19.1,19.5,1680800
1998-01-08 00:00:00,19.5,19.5,19.1,19.25,1141700
1998-01-09 00:00:00,19.38,19.75,19.22,19.66,1329700
1998-01-12 00:00:00,19.63,19.88,19.44,19.69,1298000
1998-01-13 00:00:00,19.63,20.35,19.63,20.25,1178800
1998-01-14 00:00:00,20.25,20.5,19.88,19.91,980100
1998-01-15 00:00:00,20,20.03,19.88,19.91,980100
1998-01-16 00:00:00,20,20.38,20,20.07,1330400
1998-01-20 00:00:00,20.35,21.19,20.22,21.03,1931500
1998-01-21 00:00:00,20.91,21.19,20.63,21.13,1292500
1998-01-22 00:00:00,21,21.47,21,21.32,2221200
1998-01-23 00:00:00,21.32,21.5,20.75,20.82,1527200
1998-01-26 00:00:00,20.75,20.94,20,20.1,1957900
1998-01-27 00:00:00,20.25,20.69,20.22,20.57,1650500
1998-01-28 00:00:00,20.69,20.69,20.41,20.47,793299
1998-01-29 00:00:00,20.25,20.6,20.19,20.41,1238400
1998-01-30 00:00:00,20.5,20.94,20.47,20.72,1048700
1998-02-02 00:00:00,20.91,21.28,20.88,21,1312900
1998-02-03 00:00:00,20.97,21.38,20.97,21.22,1171700
1998-02-04 00:00:00,21.22,21.28,21.13,21.22,884100
1998-02-05 00:00:00,21.25,21.38,21,21.16,896400
1998-02-06 00:00:00,21.16,21.16,20.82,20.91,481300
1998-02-09 00:00:00,20.97,21.07,20.75,20.97,604700
1998-02-10 00:00:00,20.97,21.38,20.91,21.22,1093100
1998-02-11 00:00:00,21.22,21.25,20.88,21,822400
1998-02-12 00:00:00,20.91,21.66,20.85,21.63,978200
1998-02-13 00:00:00,21.44,21.69,21.35,21.66,573500
1998-02-17 00:00:00,21.72,22.07,21.6,21.97,1301600
1998-02-18 00:00:00,21.97,22.25,21.91,22.25,1425400
1998-02-19 00:00:00,22.19,22.88,22.19,22.82,2735700
1998-02-20 00:00:00,22.75,23.03,22.5,22.82,1171200
1998-02-23 00:00:00,22.69,22.75,22.28,22.5,985200
1998-02-24 00:00:00,22.32,22.47,22,22.19,1364500
1998-02-25 00:00:00,22.32,23.19,22.25,23.19,2209300
1998-02-26 00:00:00,23.07,23.82,23.07,23.47,2411600
1998-02-27 00:00:00,23.28,23.57,23,23.5,861900
1998-03-02 00:00:00,23.19,23.47,23.13,23.44,602300
1998-03-03 00:00:00,23.44,23.6,23.32,23.44,688600
1998-03-04 00:00:00,23.22,23.6,23.19,23.38,658100
1998-03-05 00:00:00,23.07,23.63,23.07,23.6,837900
1998-03-06 00:00:00,23.47,24,23.41,23.85,1048200
1998-03-09 00:00:00,23.66,23.94,23.63,23.82,668300
1998-03-10 00:00:00,23.91,23.97,23.78,23.88,877800
1998-03-11 00:00:00,23.6,23.85,23.6,23.75,712600
1998-03-12 00:00:00,23.57,23.85,23.5,23.82,684400
1998-03-13 00:00:00,23.72,23.72,23.22,23.41,1061600
1998-03-16 00:00:00,23.41,23.47,22.82,23,766500
1998-03-17 00:00:00,23,23.16,22.82,22.94,477100
1998-03-18 00:00:00,23.1,23.5,22.97,23.44,934500
1998-03-19 00:00:00,23.35,23.57,23.32,23.47,356700
1998-03-20 00:00:00,23.6,23.69,23.32,23.47,356700
